id,total_count
1,21
2,20
3,10
4,28
5,8
6,17
7,9
8,19
9,15
10,12
11,21
12,16
13,16
14,10
15,9
16,12
17,9
18,11
19,8
20,9
21,10
22,11
23,11
24,6
25,8
26,11
27,16
28,12
29,10
30,9
31,89
32,17
33,9
34,11
35,12
36,11
37,9
38,8
39,14
40,9
41,28
42,21
43,11
44,29
45,13
46,22
47,10
48,14
49,9
50,36
51,9
52,8
53,13
54,12
55,9
56,10
57,6
58,10
59,16
60,9
61,38
62,14
63,28
64,22
65,11
66,30
67,20
68,14
69,20
70,8
71,11
72,13
73,12
74,8
75,15
76,6
77,21
78,13
79,12
80,9
